entry_id,grammar_point,semantic_concept,connection_rule,meaning_zh,example_japanese,example_reading,example_chinese,jlpt_level,tags,notes,usage_when,usage_avoid,common_mistakes,review_issues,review_status,enriched_by,confidence
G0073,四、可能動詞  vs 「〜ことができる」,"兩個都表示「能夠」,但用法不同:",パーティーにジュースを持って来ることができますか  →  パーティーにジュースを持ってこられますか,"兩個都表示「能夠」,但用法不同:",四、可能動詞  vs 「〜ことができる」を使います。,四、可能動詞  vs 「〜ことができる」を使います。,"兩個都表示「能夠」,但用法不同:",N3,N3|文法|助詞,"用法 說明 例子 可能動詞日常、自然日本語が話せる〜ことができる正式、書面日本語を話すことができる 👉 會話優先用  可能動詞 五、常見錯誤提醒  ⚠ 1. ❌ 食べることが食べられる 2. ❌ を不改成が 3. ❌ 混用被動形(食べられる  ≠ 一定是被動,要看語境) 例: 日 文 筆 記",,"五、常見錯誤提醒  ⚠ | 1. ❌ 食べることが食べられる | 2. ❌ を不改成が | 3. ❌ 混用被動形(食べられる  ≠ 一定是被動,要看語境)",會話優先用  可能動詞,grammar_point 疑似誤拆（例句/說明文字）; 例句為模板佔位，非真實例句,excluded,teacher_agent,0.6
G0074,"「見えます」「聞こえます」不是主觀意志,而是自然能看到∕聽到","「見えます」「聞こえます」不是主觀意志,而是自然能看到∕聽到","「見えます」「聞こえます」不是主觀意志,而是自然能看到∕聽到","「見えます」「聞こえます」不是主觀意志,而是自然能看到∕聽到","「見えます」「聞こえます」不是主觀意志,而是自然能看到∕聽到を使います。","「見えます」「聞こえます」不是主觀意志,而是自然能看到∕聽到を使います。","「見えます」「聞こえます」不是主觀意志,而是自然能看到∕聽到",N3,N3|文法,,,"五、常見錯誤提醒  ⚠ | 1. ❌ 食べることが食べられる | 2. ❌ を不改成が | 3. ❌ 混用被動形(食べられる  ≠ 一定是被動,要看語境)",會話優先用  可能動詞,例句為模板佔位，非真實例句; 意思與句型名稱相同，缺少釋義; 信心分偏低 (0.5),flagged,teacher_agent,0.5
G0075,自動詞がています,自動詞がています,自動詞がています,自動詞がています,自動詞がていますを使います。,自動詞がていますを使います。,自動詞がています,N3,N3|文法|助詞,,,,,例句為模板佔位，非真實例句; 意思與句型名稱相同，缺少釋義; 信心分偏低 (0.5),flagged,teacher_agent,0.5
G0076,一、意向形是做什麼用的?,󾠮 表達「自己的打算、意圖」,有點像英文的  I’ll / I’m going to 行こう 👉 我要去 食べよう 👉 我要吃 今日は早く寝よう 👉 今天打算早點睡 👉 重點:是說話當下形成的想法或決定 󾠯 用來「邀請、提議(一起做)」 很像中文的「一起〜吧」 一緒に帰ろう 👉 一起回去吧 映画を見よう 👉 看電影吧 󾠰 常見固定句型🔹 意向形+と思う 👉「打算要〜」 👉 我打算去日本 🔹 意向形+とする 👉「正要〜∕試著要〜」 日 文 筆 記,󾠮 表達「自己的打算、意圖」,一、意向形是做什麼用的?を使います。,一、意向形是做什麼用的?を使います。,󾠮 表達「自己的打算、意圖」,N3,N3|文法,有點像英文的  I’ll / I’m going to 行こう 👉 我要去 食べよう 👉 我要吃 今日は早く寝よう 👉 今天打算早點睡 👉 重點:是說話當下形成的想法或決定 󾠯 用來「邀請、提議(一起做)」 很像中文的「一起〜吧」 一緒に帰ろう 👉 一起回去吧 映画を見よう 👉 看電影吧 󾠰 常見固定句型🔹 意向形+と思う 👉「打算要〜」 👉 我打算去日本 🔹 意向形+とする 👉「正要〜∕試著要〜」 日 文 筆 記,,,我要去 | 我要吃 | 今天打算早點睡 | 重點:是說話當下形成的想法或決定 | 一起回去吧,例句為模板佔位，非真實例句,flagged,teacher_agent,0.6
G0077,日本へ行こうと思っています,日本へ行こうと思っています,日本へ行こうと思っています,日本へ行こうと思っています,日本へ行こうと思っていますを使います。,日本へ行こうと思っていますを使います。,日本へ行こうと思っています,N3,N3|文法|助詞,,,,我要去 | 我要吃 | 今天打算早點睡 | 重點:是說話當下形成的想法或決定 | 一起回去吧,例句為模板佔位，非真實例句; 意思與句型名稱相同，缺少釋義; 信心分偏低 (0.5),flagged,teacher_agent,0.5
G0078,〜つもりです,〜つもりです,〜つもりです,〜つもりです,〜つもりです の例文です。,〜つもりです の例文です。,〜つもりです,N4,N4|文法|句型|助詞,,,意向形  ≠ 已經決定很久的計畫,"正要出門時,下雨了 | 三、常見誤會  ⚠ | 如果是很明確的計畫,日文更常用:",例句為模板佔位，非真實例句; 意思與句型名稱相同，缺少釋義; 信心分偏低 (0.5),flagged,teacher_agent,0.5
G0079,スゲージュルがあります、皆と一緒に決めること,スゲージュルがあります、皆と一緒に決めること,スゲージュルがあります、皆と一緒に決めること,スゲージュルがあります、皆と一緒に決めること,私は車があります。,わたしはくるまがあります。,我有車。,N5,N5|文法|助詞,,,,,意思與句型名稱相同，缺少釋義; 信心分偏低 (0.5),flagged,teacher_agent,0.5
G0080,ほうがいいです,ほうがいいです,日 文 筆 記,ほうがいいです,ほうがいいですを使います。,ほうがいいですを使います。,ほうがいいです,N3,N3|文法|助詞,日 文 筆 記,,,,例句為模板佔位，非真實例句; 意思與句型名稱相同，缺少釋義,flagged,teacher_agent,0.6
G0081,用來表示對還不清楚的事情的推測。 → でしょう、かもしれません,用來表示對還不清楚的事情的推測。 → でしょう、かもしれません,でしょう  + Positive/Negative,用來表示對還不清楚的事情的推測。 → でしょう、かもしれません,"平常對話中較少使用,但電視上的專家常會使用,是較正式的說法,天氣新聞中很常見。","平常對話中較少使用,但電視上的專家常會使用,是較正式的說法,天氣新聞中很常見。",用來表示對還不清楚的事情的推測。 → でしょう、かもしれません,N3,N3|文法|助詞,日 文 筆 記,,,,意思與句型名稱相同，缺少釋義,flagged,pdf_extract,0.85
G0082,かもしれません  + Negative,かもしれません  + Negative,日 文 筆 記,かもしれません  + Negative,かもしれません  + Negativeを使います。,かもしれません  + Negativeを使います。,かもしれません  + Negative,N3,N3|文法|助詞,日 文 筆 記,,,,例句為模板佔位，非真實例句; 意思與句型名稱相同，缺少釋義,flagged,teacher_agent,0.6
G0083,3. 危ない時  →   Dangerous situation,2. 男性同士(女性も使うこともある) →   Conversation between men ( Sometimes used by women ),2. 男性同士(女性も使うこともある) →   Conversation between men ( Sometimes used by women ),2. 男性同士(女性も使うこともある) →   Conversation between men ( Sometimes used by women ),3. 危ない時  →   Dangerous situationを使います。,3. 危ない時  →   Dangerous situationを使います。,2. 男性同士(女性も使うこともある) →   Conversation between men ( Sometimes used by women ),N3,N3|文法,日 文 筆 記,,,,例句為模板佔位，非真實例句,flagged,teacher_agent,0.6
G0084,ひまなら いっしょにふじさんにいきませんか。,"(如果有空的話,要不要一起去富士山?)","(如果有空的話,要不要一起去富士山?)","(如果有空的話,要不要一起去富士山?)",ひまなら いっしょにふじさんにいきませんか。を使います。,ひまなら いっしょにふじさんにいきませんか。を使います。,"(如果有空的話,要不要一起去富士山?)",N3,N3|文法|助詞,,,"(如果有空的話,要不要一起去富士山?) | (如果下雨的話,要不要一起去看電影?)",,例句為模板佔位，非真實例句; 信心分偏低 (0.5),flagged,teacher_agent,0.5
G0085,あめなら いっしょにえいがをみにいきませんか。,"(如果下雨的話,要不要一起去看電影?)",「〜ば」的兩大主要用法 表示前提條件:前面的子句是後面主要句子發生所需的前提。 用來回應對方的發言或情況:針對對方的現狀給予建議或回應。,"(如果下雨的話,要不要一起去看電影?)",例1: ボタンを  押せば、窓が開きます。,例1: ボタンを  押せば、窓が開きます。,"按鈕按下的話,窗戶會打開。",N3,N3|文法|助詞,「〜ば」的兩大主要用法 表示前提條件:前面的子句是後面主要句子發生所需的前提。 用來回應對方的發言或情況:針對對方的現狀給予建議或回應。,,"(如果有空的話,要不要一起去富士山?) | (如果下雨的話,要不要一起去看電影?)",,,passed,pdf_extract,0.95
G0086,ボールペンがないんですが。,"ボールペンがなければ、鉛筆で書いてください。(如果沒有原子筆的話,請用鉛筆寫。)","ボールペンがなければ、鉛筆で書いてください。(如果沒有原子筆的話,請用鉛筆寫。)","ボールペンがなければ、鉛筆で書いてください。(如果沒有原子筆的話,請用鉛筆寫。)",例6:,例6:,"ボールペンがなければ、鉛筆で書いてください。(如果沒有原子筆的話,請用鉛筆寫。)",N3,N3|文法|助詞,,,"(如果有空的話,要不要一起去富士山?) | (如果下雨的話,要不要一起去看電影?)",,,passed,pdf_extract,0.88
G0087,無理なら金曜日までに出してください,無理なら金曜日までに出してください,無理なら金曜日までに出してください,無理なら金曜日までに出してください,無理なら金曜日までに出してくださいを使います。,無理なら金曜日までに出してくださいを使います。,無理なら金曜日までに出してください,N3,N3|文法|助詞,,,"(如果有空的話,要不要一起去富士山?) | (如果下雨的話,要不要一起去看電影?)",,例句為模板佔位，非真實例句; 意思與句型名稱相同，缺少釋義; 信心分偏低 (0.5),flagged,teacher_agent,0.5
G0088,條件句的限制與規則  ( 意志 / 希望 / 命令 / 請求 ),條件句的限制與規則  ( 意志 / 希望 / 命令 / 請求 ),"「〜と」:最嚴格 特徵: 表示「必然發生的結果」。 限制: 主要子句(後半句)不能出現意志、希望、命令、請求等主觀語氣。 常見主觀語氣包含: 〜しよう , 〜つもりだ(意志)、〜しなさい(命令)、〜しましょう(勸誘)、〜してください(請求)、〜したい , 〜ほしい(願望)。 「〜ば」:有條件開放 原則上,後半句也不太接主觀語氣,但滿足以下任一條件時可以接: 1. 前後句主語不同時: 如例2,主語分別是「他」和「我」。 2. 前句的述語是狀態性動詞或形容詞時: 或是前句使用條件形(如例3、5)。 「〜たら」:最寬鬆、最萬用 特徵: 可表示假設,也可表示「條件達成後的動作」。 語法: 可以隨意連接意志、希望、命令、請求等語氣。 注意: 此句不能用「〜と」或「〜ば」,因為「請聯絡我」是強烈請求。 日 文 筆 記",條件句的限制與規則  ( 意志 / 希望 / 命令 / 請求 ),ここを押すと、ドアが開きます,ここを押すと、ドアが開きます,"如果田中先生來東京,我就去見他。",N3,N3|文法,"「〜と」:最嚴格 特徵: 表示「必然發生的結果」。 限制: 主要子句(後半句)不能出現意志、希望、命令、請求等主觀語氣。 常見主觀語氣包含: 〜しよう , 〜つもりだ(意志)、〜しなさい(命令)、〜しましょう(勸誘)、〜してください(請求)、〜したい , 〜ほしい(願望)。 「〜ば」:有條件開放 原則上,後半句也不太接主觀語氣,但滿足以下任一條件時可以接: 1. 前後句主語不同時: 如例2,主語分別是「他」和「我」。 2. 前句的述語是狀態性動詞或形容詞時: 或是前句使用條件形(如例3、5)。 「〜たら」:最寬鬆、最萬用 特徵: 可表示假設,也可表示「條件達成後的動作」。 語法: 可以隨意連接意志、希望、命令、請求等語氣。 注意: 此句不能用「〜と」或「〜ば」,因為「請聯絡我」是強烈請求。 日 文 筆 記","原則上,後半句也不太接主觀語氣,但滿足以下任一條件時可以接: | 語法: 可以隨意連接意志、希望、命令、請求等語氣。","注意: 此句不能用「〜と」或「〜ば」,因為「請聯絡我」是強烈請求。",條件句的限制與規則  ( 意志 / 希望 / 命令 / 請求 ) | 限制: 主要子句(後半句)不能出現意志、希望、命令、請求等主觀語氣。,意思與句型名稱相同，缺少釋義,flagged,pdf_extract,0.9
G0089,〜ばいいですか:用來向對方詢問建議或指示。用法等同於之前學過的  「〜たらいいですか」。,〜ばいいですか:用來向對方詢問建議或指示。用法等同於之前學過的  「〜たらいいですか」。,〜ばいいですか:用來向對方詢問建議或指示。用法等同於之前學過的  「〜たらいいですか」。,〜ばいいですか:用來向對方詢問建議或指示。用法等同於之前學過的  「〜たらいいですか」。,本を借りたいんですが、どうすればいいですか,本を借りたいんですが、どうすればいいですか,,N4,N4|文法|句型|助詞,,,,"【重點例句】 | 小撇步:如果前面是「この、その、あの」等指示詞,直接接  とおりに  即可(例如:この  とおりに  = 照這樣做)。",意思與句型名稱相同，缺少釋義,flagged,pdf_extract,0.8
G0090,客氣詢問:〜はありませんか  ( 否定疑問句 ),"與「〜はありますか」意思相同,但口氣更為委婉、客氣。","優點: 這種問法預留了「否定」的空間,讓對方在沒有(或無法提供)建議時,比較容易開口拒絕,減少尷尬。","與「〜はありますか」意思相同,但口氣更為委婉、客氣。",例句: どこかいい所はありませんか。,例句: どこかいい所はありませんか。,有沒有什麼推薦的好地方呢?,N3,N3|文法|助詞,"優點: 這種問法預留了「否定」的空間,讓對方在沒有(或無法提供)建議時,比較容易開口拒絕,減少尷尬。",,,"【重點例句】 | 小撇步:如果前面是「この、その、あの」等指示詞,直接接  とおりに  即可(例如:この  とおりに  = 照這樣做)。",,passed,pdf_extract,0.95
G0091,N なら,這個句型用於表達「不走樣地、完全依照前者的樣子」去做後面的動作。,動詞: 動詞  た形 + とおりに 名詞: 名詞  の + とおりに,這個句型用於表達「不走樣地、完全依照前者的樣子」去做後面的動作。,温泉に行きたいんですが、どこがいいですか,温泉に行きたいんですが、どこがいいですか,這個句型用於表達「不走樣地、完全依照前者的樣子」去做後面的動作。,N3,N3|文法,温泉なら、白馬がいいですよ とおりに(照著 ... 做  / 如同 ... 地) 強調先後順序或前提條件。通常隱含「沒做  A 就不能做  B 」的意思。,,,"【重點例句】 | 小撇步:如果前面是「この、その、あの」等指示詞,直接接  とおりに  即可(例如:この  とおりに  = 照這樣做)。",,passed,pdf_extract,0.95
G0092,1. わたしが  やった  とおりに、やって  ください。,請照著我剛才做的方式去做。,請照著我剛才做的方式去做。,請照著我剛才做的方式去做。,1. わたしが  やった  とおりに、やって  ください。を使います。,1. わたしが  やった  とおりに、やって  ください。を使います。,請照著我剛才做的方式去做。,N3,N3|文法|助詞,,,,"【重點例句】 | 小撇步:如果前面是「この、その、あの」等指示詞,直接接  とおりに  即可(例如:この  とおりに  = 照這樣做)。",grammar_point 疑似誤拆（例句/說明文字）; 例句為模板佔位，非真實例句; 信心分偏低 (0.5),excluded,teacher_agent,0.5
G0093,2. 見た  とおりに、話して  ください。,請如實敘述你所看到的(看見什麼就說什麼)。,請如實敘述你所看到的(看見什麼就說什麼)。,請如實敘述你所看到的(看見什麼就說什麼)。,2. 見た  とおりに、話して  ください。を使います。,2. 見た  とおりに、話して  ください。を使います。,請如實敘述你所看到的(看見什麼就說什麼)。,N3,N3|文法|助詞,,,,"【重點例句】 | 小撇步:如果前面是「この、その、あの」等指示詞,直接接  とおりに  即可(例如:この  とおりに  = 照這樣做)。",例句為模板佔位，非真實例句; 信心分偏低 (0.5),flagged,teacher_agent,0.5
G0094,3. 線の  とおりに、紙を  切って  ください。,請沿著這條線剪紙。,"4. 説明書の  とおりに、組み立てました。 我按照說明書組裝好了。 💡 小撇步:如果前面是「この、その、あの」等指示詞,直接接  とおりに  即可(例如:この  とおりに  = 照這樣做)。 日 文 筆 記",請沿著這條線剪紙。,4. 説明書の  とおりに、組み立てました。,4. 説明書の  とおりに、組み立てました。,請沿著這條線剪紙。,N3,N3|文法|助詞,"4. 説明書の  とおりに、組み立てました。 我按照說明書組裝好了。 💡 小撇步:如果前面是「この、その、あの」等指示詞,直接接  とおりに  即可(例如:この  とおりに  = 照這樣做)。 日 文 筆 記",,,"【重點例句】 | 小撇步:如果前面是「この、その、あの」等指示詞,直接接  とおりに  即可(例如:この  とおりに  = 照這樣做)。",,corrected,grammar_teacher_agent,0.75
G0095,〜あとで(在 ... 之後),"表達在某個動作或事情結束後,接著進行下一個動作。",動詞: 動詞  た形 + あとで 名詞: 名詞  の + あとで,"表達在某個動作或事情結束後,接著進行下一個動作。","強調單純的時間順序,不管前一個動作跟後一個動作有沒有因果關係。","強調單純的時間順序,不管前一個動作跟後一個動作有沒有因果關係。","表達在某個動作或事情結束後,接著進行下一個動作。",N4,N4|文法|句型|助詞,"強調單純的時間順序,不管前一個動作跟後一個動作有沒有因果關係。 新しいのを  買った  あとで、なくした  時計が  見つかりました。 買了新的之後,丟失的手錶竟然找到了。",,"下班之後,要不要去喝一杯?",【重點例句】,,corrected,grammar_teacher_agent,0.75
G0096,仕事の  あとで、飲みに行きませんか。,"下班之後,要不要去喝一杯?",意志動詞 / 無意志動詞 日 文 筆 記,"下班之後,要不要去喝一杯?",仕事の  あとで、飲みに行きませんか。を使います。,仕事の  あとで、飲みに行きませんか。を使います。,"下班之後,要不要去喝一杯?",N3,N3|文法|助詞,意志動詞 / 無意志動詞 日 文 筆 記,,"下班之後,要不要去喝一杯?",【重點例句】,例句為模板佔位，非真實例句,flagged,teacher_agent,0.6
G0097,ように ( 請先看意志動詞 / 無意志動詞,ように ( 請先看意志動詞 / 無意志動詞,日 文 筆 記,ように ( 請先看意志動詞 / 無意志動詞,ように ( 請先看意志動詞 / 無意志動詞を使います。,ように ( 請先看意志動詞 / 無意志動詞を使います。,ように ( 請先看意志動詞 / 無意志動詞,N3,N3|文法|助詞,日 文 筆 記,,,,例句為模板佔位，非真實例句; 意思與句型名稱相同，缺少釋義,flagged,teacher_agent,0.6
G0098,日 文 筆 記,"這句型用來表示目的。  →  ように-「ように」前面的部分,是「ように」後面的動作或者行為的結果,表示希望達成的狀態",日 文 筆 記,"這句型用來表示目的。  →  ように-「ように」前面的部分,是「ように」後面的動作或者行為的結果,表示希望達成的狀態",日 文 筆 記を使います。,日 文 筆 記を使います。,"這句型用來表示目的。  →  ように-「ように」前面的部分,是「ように」後面的動作或者行為的結果,表示希望達成的狀態",N3,N3|文法,日 文 筆 記,,,,grammar_point 疑似誤拆（例句/說明文字）; 例句為模板佔位，非真實例句,excluded,teacher_agent,0.6
G0099,這句型表示改變、變化  →  ようになりました,這句型表示改變、變化  →  ようになりました,日 文 筆 記,這句型表示改變、變化  →  ようになりました,這句型表示改變、變化  →  ようになりましたを使います。,這句型表示改變、變化  →  ようになりましたを使います。,這句型表示改變、變化  →  ようになりました,N3,N3|文法|助詞,日 文 筆 記,,,,例句為模板佔位，非真實例句; 意思與句型名稱相同，缺少釋義,flagged,teacher_agent,0.6
G0100,有意識的持續某個習慣行為 → ようにしています,有意識的持續某個習慣行為 → ようにしています,有意識的持續某個習慣行為 → ようにしています,有意識的持續某個習慣行為 → ようにしています,どんなスポーツが好きですか。 サッカーが好きです。,どんなスポーツが好きですか。 サッカーが好きです。,,N3,N3|文法|助詞,,,,,grammar_point 疑似誤拆（例句/說明文字）; 意思與句型名稱相同，缺少釋義,excluded,pdf_extract,0.75
G0101,どんな,どんな,日 文 筆 記,どんな,どんなを使います。,どんなを使います。,どんな,N3,N3|文法,日 文 筆 記,,,,例句為模板佔位，非真實例句; 意思與句型名稱相同，缺少釋義,flagged,teacher_agent,0.6
G0102,ながら,ながら,ながら,ながら,ながらを使います。,ながらを使います。,ながら,N3,N3|文法|助詞,,,,,例句為模板佔位，非真實例句; 意思與句型名稱相同，缺少釋義; 信心分偏低 (0.5),flagged,teacher_agent,0.5
G0103,程度副詞 :,👉 用來表示「懂到什麼程度  / 做到什麼程度」,肯定 副詞 例句 中文意思 否定,👉 用來表示「懂到什麼程度  / 做到什麼程度」,程度副詞 :を使います。,程度副詞 :を使います。,👉 用來表示「懂到什麼程度  / 做到什麼程度」,N3,N3|文法,肯定 副詞 例句 中文意思 否定,,,用來表示「懂到什麼程度  / 做到什麼程度」,例句為模板佔位，非真實例句,flagged,teacher_agent,0.6
G0104,すこし すこし  わかります 懂一點,副詞 例句 中文意思,頻率副詞 :,副詞 例句 中文意思,すこし すこし  わかります 懂一點を使います。,すこし すこし  わかります 懂一點を使います。,副詞 例句 中文意思,N3,N3|文法,頻率副詞 :,,,用來表示「懂到什麼程度  / 做到什麼程度」,例句為模板佔位，非真實例句,flagged,teacher_agent,0.6
G0105,なんか,表示數量多寡,肯定 副詞 例句 中文意思 否定,表示數量多寡,なんかを使います。,なんかを使います。,表示數量多寡,N3,N3|文法,肯定 副詞 例句 中文意思 否定,,,用來表示「懂到什麼程度  / 做到什麼程度」,例句為模板佔位，非真實例句,flagged,teacher_agent,0.6
G0106,すこし すこし  あります 有一點,副詞 例句 中文意思,日 文 筆 記,副詞 例句 中文意思,すこし すこし  あります 有一點を使います。,すこし すこし  あります 有一點を使います。,副詞 例句 中文意思,N3,N3|文法,日 文 筆 記,,,用來表示「懂到什麼程度  / 做到什麼程度」,例句為模板佔位，非真實例句,flagged,teacher_agent,0.6
G0107,ぜんぜん ぜんぜん  ありません 完全沒有,ぜんぜん ぜんぜん  ありません 完全沒有,ぜんぜん ぜんぜん  ありません 完全沒有,ぜんぜん ぜんぜん  ありません 完全沒有,ぜんぜん ぜんぜん  ありません 完全沒有を使います。,ぜんぜん ぜんぜん  ありません 完全沒有を使います。,ぜんぜん ぜんぜん  ありません 完全沒有,N3,N3|文法,,,,用來表示「懂到什麼程度  / 做到什麼程度」,例句為模板佔位，非真實例句; 意思與句型名稱相同，缺少釋義; 信心分偏低 (0.5),flagged,teacher_agent,0.5
G0108,~ から〜( because),"どうして( Ask Question, use から to answer)","どうして( Ask Question, use から to answer)","どうして( Ask Question, use から to answer)",時間がありませんから、新聞をよみません。,時間がありませんから、新聞をよみません。,"どうして( Ask Question, use から to answer)",N3,N3|文法|句型,時  WHEN 日 文 筆 記,,,,,passed,pdf_extract,0.9
G0109,~ なる,"表示狀態的變化,翻譯為「變得 ... ∕成為 ...」",い形容詞  +  くなる な形容詞 + になる N   +  になる,"表示狀態的變化,翻譯為「變得 ... ∕成為 ...」","表示人或事物的狀態自然變化,變成不同的狀態。","表示人或事物的狀態自然變化,變成不同的狀態。","表示狀態的變化,翻譯為「變得 ... ∕成為 ...」",N3,N3|文法|句型,"表示人或事物的狀態自然變化,變成不同的狀態。 表示人或物的狀態自然變化,變成另一種東西。 化粧をして綺麗になりました 日 文 筆 記",,,,,corrected,grammar_teacher_agent,0.75
G0110,と  VS  や〜などがあります,と  VS  や〜などがあります,と  VS  や〜などがあります,と  VS  や〜などがあります,私は車があります。,わたしはくるまがあります。,我有車。,N5,N5|文法|助詞,,,,,意思與句型名稱相同，缺少釋義; 信心分偏低 (0.5),flagged,teacher_agent,0.5
G0111,"名詞修飾是指在名詞前面加上修飾語,來更清楚地說明這個名詞主要是用來表示「是怎樣的名詞」","名詞修飾是指在名詞前面加上修飾語,來更清楚地說明這個名詞主要是用來表示「是怎樣的名詞」",V (普通形)  +   N い形容詞い +  N な形容詞な +  N N の +  N,"名詞修飾是指在名詞前面加上修飾語,來更清楚地說明這個名詞主要是用來表示「是怎樣的名詞」",これは彼にもらった花です,これは彼にもらった花です,"名詞修飾是指在名詞前面加上修飾語,來更清楚地說明這個名詞主要是用來表示「是怎樣的名詞」",N3,N3|文法,,,,• 範例:    ◦ 田中  という  人  から電話がありました。    ◦ 中文:有一位「叫做」田中的人打電話來。• 功能:給後面的名詞貼上一個名字標籤。💡 總結比較用法中文語感你的題目例子內容說明...,意思與句型名稱相同，缺少釋義,flagged,pdf_extract,0.9
G0112,という,"1. 內容的說明(引用包裹)像你第一題看到的  〜ということを。它用來引出前面的具體內容,把⻑⻑的句子「打包」成一個名詞。• 結構:[ 句子  ] + という + [ 名詞  ( 如:こと、内容、噂 ) ]",這件事  / 內容是 ...どうしてほしいか  ということを ( 希望怎麼做這件事)觀點限定在 ... 這點上,"1. 內容的說明(引用包裹)像你第一題看到的  〜ということを。它用來引出前面的具體內容,把⻑⻑的句子「打包」成一個名詞。• 結構:[ 句子  ] + という + [ 名詞  ( 如:こと、内容、噂 ) ]","範例:    ◦ 明日テストがある  という  こと  を  知っていますか。    ◦ 中文:你知道「明天有考試」這件事嗎?• 功能:這裡的「という」就像一個括號,告訴你這件事的詳細內容是什麼。2. 具體的定義或面向","範例:    ◦ 明日テストがある  という  こと  を  知っていますか。    ◦ 中文:你知道「明天有考試」這件事嗎?• 功能:這裡的「という」就像一個括號,告訴你這件事的詳細內容是什麼。2. 具體的定義或面向",限定焦點,N3,N3|文法|助詞,,,,• 範例:    ◦ 田中  という  人  から電話がありました。    ◦ 中文:有一位「叫做」田中的人打電話來。• 功能:給後面的名詞貼上一個名字標籤。💡 總結比較用法中文語感你的題目例子內容說明...,,passed,pdf_extract,0.95
G0113,就 ... 而言友情がテーマになっている  という点で (在主題是友情這點上)名稱標籤,就 ... 而言友情がテーマになっている  という点で (在主題是友情這點上)名稱標籤,就 ... 而言友情がテーマになっている  という点で (在主題是友情這點上)名稱標籤,就 ... 而言友情がテーマになっている  という点で (在主題是友情這點上)名稱標籤,就 ... 而言友情がテーマになっている  という点で (在主題是友情這點上)名稱標籤を使います。,就 ... 而言友情がテーマになっている  という点で (在主題是友情這點上)名稱標籤を使います。,就 ... 而言友情がテーマになっている  という点で (在主題是友情這點上)名稱標籤,N4,N4|文法|助詞,,,,• 範例:    ◦ 田中  という  人  から電話がありました。    ◦ 中文:有一位「叫做」田中的人打電話來。• 功能:給後面的名詞貼上一個名字標籤。💡 總結比較用法中文語感你的題目例子內容說明...,例句為模板佔位，非真實例句; 意思與句型名稱相同，缺少釋義; 信心分偏低 (0.5),flagged,teacher_agent,0.5
G0114,〜たら,〜たら,日 文 筆 記,〜たら,お金がたくさんあったら、大きいうちがほしいです,お金がたくさんあったら、大きいうちがほしいです,,N4,N4|文法|句型,日 文 筆 記,,,,意思與句型名稱相同，缺少釋義,flagged,pdf_extract,0.9
G0115,ても,「 A ても B 」表示一種「逆向假設∕出乎意料的結果」。,V て形 + も N+ でも,「 A ても B 」表示一種「逆向假設∕出乎意料的結果」。,雨がふっても旅行に行きます,雨がふっても旅行に行きます,「 A ても B 」表示一種「逆向假設∕出乎意料的結果」。,N3,N3|文法|助詞,"意思是: 照理說如果  A 成立,那麼  B 應該也會成立,但實際上卻沒有發生( B 不成立)。 也就是「即使發生了  A ,結果卻和一般預期相反」。 い形容詞い+ くても な形容詞な+ でも",,,,,passed,pdf_extract,0.95
G0116,N のために,N のために,V 辞書形 ために、 日 文 筆 記,N のために,家を買うために、一生懸命働きます,家を買うために、一生懸命働きます,,N3,N3|文法|助詞,V 辞書形 ために、 日 文 筆 記,,,,意思與句型名稱相同，缺少釋義,flagged,pdf_extract,0.9
G0117,〜のに(よくつかいます,〜のに(よくつかいます,日 文 筆 記,〜のに(よくつかいます,〜のに(よくつかいます の例文です。,〜のに(よくつかいます の例文です。,〜のに(よくつかいます,N4,N4|文法|句型|助詞,日 文 筆 記,,,,例句為模板佔位，非真實例句; 意思與句型名稱相同，缺少釋義,flagged,teacher_agent,0.6
G0118,のに VS のを,一、のを🔹 基本結構 動詞(普通形)  + の  + を → 我停止「讀書這件事」 「読む」 → 「読むの」 → 變成名詞 → 我看到他跑,一、のを🔹 基本結構 動詞(普通形)  + の  + を → 我停止「讀書這件事」 「読む」 → 「読むの」 → 變成名詞 → 我看到他跑,一、のを🔹 基本結構 動詞(普通形)  + の  + を → 我停止「讀書這件事」 「読む」 → 「読むの」 → 變成名詞 → 我看到他跑,"👉 把「動作」名詞化,變成受詞。","👉 把「動作」名詞化,變成受詞。",一、のを🔹 基本結構 動詞(普通形)  + の  + を → 我停止「讀書這件事」 「読む」 → 「読むの」 → 變成名詞 → 我看到他跑,N3,N3|文法|助詞,"👉 把「動作」名詞化,變成受詞。 1  把動作當成「名詞」✔  例句 本を読む。 本を読むのをやめた。 這裡的 再加「を」當受詞。 2  感官動詞常用 見る 聞く 感じる 手伝う 邪魔する 忘れる ✔  例句 彼が走るのを見た。",,,"把「動作」名詞化,變成受詞。 | 📌 のを  的重點 | 表示「明明 ...... 卻 ...... 」",,corrected,grammar_teacher_agent,0.75
